fecha_scoring,codigo_punto,fecha_corte,nombre_punto,estado_actual,estado_actual_norm,segmento_operativo,departamento,municipio,red_cb,probabilidad_riesgo_90d,probabilidad_riesgo_90d_raw,nivel_modelo,nivel_riesgo_reglas,nivel_alerta_final,ranking_global,ranking_segmento,flag_top500_preventivo,flag_nuevo_top500_preventivo,perdida_esperada_modelo,saldo_expuesto,dias_sin_compensar,dias_sin_transacciones,consumo_cupo_punto,consumo_cupo_visual,score_riesgo_reglas,motivo_alerta,accion_recomendada,accion_final_produccion
2026-05-02,41092,2026-04-30,BARRIO MADERA BELLO,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,ANTIOQUIA,BELLO,REDEBAN,0.5086959200485008,0.9884910097537853,Crítico,Crítico,Recuperación prioritaria,851,843,0,0,7701710.863476116,15140107.4,1015.0,999.0,0.75700537,0.75700537,100.0,"1015 días sin compensar | 999 días sin transacciones | consumo cupo 76% | saldo expuesto $15,140,107 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,40681,2026-04-30,BARRIO PATIO BONITO BOGOTA 7,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CUNDINAMARCA,BOGOTÁ,REDEBAN,0.5110384962708641,0.9886055343021225,Crítico,Crítico,Recuperación prioritaria,852,844,0,0,7688541.980969884,15044937.0,1597.0,999.0,0.75224685,0.75224685,100.0,"1597 días sin compensar | 999 días sin transacciones | consumo cupo 75% | saldo expuesto $15,044,937 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,28783,2026-04-30,BARRIO QUINTAS DE LA AUTOPISTA  BOGOTÁ,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CUNDINAMARCA,BOGOTÁ,REDEBAN,0.526920316733349,0.9893536234361517,Crítico,Crítico,Recuperación prioritaria,853,845,0,0,7684025.633509563,14582898.76,2334.0,999.0,0.9721932506666666,0.9721932506666666,100.0,"2334 días sin compensar | 999 días sin transacciones | consumo cupo 97% | saldo expuesto $14,582,899 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,35880,2026-04-30,BARRIO BOSA RECREO BOGOTA   1,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CUNDINAMARCA,BOGOTÁ,REDEBAN,0.5161715367432009,0.9888526434842144,Crítico,Crítico,Recuperación prioritaria,854,846,0,0,7676383.848496466,14871768.98,1148.0,1179.0,0.9914512653333334,0.9914512653333334,100.0,"1148 días sin compensar | 1179 días sin transacciones | consumo cupo 99% | saldo expuesto $14,871,769 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,24685,2026-04-30,CALLE SUCRE 29-26 SAN ANDRES DE CUERQUIA - ANTIOQUIA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,REDEBAN,0.374428280147607,0.9793986462928957,Crítico,Crítico,Recuperación prioritaria,855,847,0,0,7674589.873604442,20496822.17,2730.0,999.0,0.8198728868,0.8198728868,100.0,"2730 días sin compensar | 999 días sin transacciones | consumo cupo 82% | saldo expuesto $20,496,822 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,18631,2026-04-30,BARRIO FERIAS BOGOTA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CUNDINAMARCA,BOGOTÁ,REDEBAN,0.5300934119803292,0.9894974052296829,Crítico,Crítico,Recuperación prioritaria,856,848,0,0,7668709.795005465,14466714.02,1261.0,999.0,0.9644476013333333,0.9644476013333333,100.0,"1261 días sin compensar | 999 días sin transacciones | consumo cupo 96% | saldo expuesto $14,466,714 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,72634,2026-04-30,LA ESMERALDA MAJAGUAL,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,SUCRE,MAJAGUAL,REDEBAN,0.5084161385341545,0.9884772572409791,Crítico,Crítico,Recuperación prioritaria,857,849,0,0,7667330.745080232,15080817.0,355.0,317.0,2.0107756,2.0107756,100.0,"355 días sin compensar | 317 días sin transacciones | consumo cupo 201% | saldo expuesto $15,080,817 | mora operativa Mayor a 60 | aparece en castigados: Inactividad",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,53684,2026-04-30,BARRIO PLAYA RICA EL BAGRE,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,ANTIOQUIA,EL BAGRE,REDEBAN,0.46036868311028495,0.9858538406817764,Crítico,Crítico,Recuperación prioritaria,858,850,0,0,7665823.1420180295,16651487.0,1458.0,999.0,1.0407179375,1.0407179375,100.0,"1458 días sin compensar | 999 días sin transacciones | consumo cupo 104% | saldo expuesto $16,651,487 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,48407,2026-04-30,BARRIO SANTA ANA IBAGUE 1,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,TOLIMA,IBAGUÉ,REDEBAN,0.5145572407601929,0.9887754912467993,Crítico,Crítico,Recuperación prioritaria,859,851,0,0,7654952.80996746,14876776.0,898.0,936.0,0.9917850666666667,0.9917850666666667,100.0,"898 días sin compensar | 936 días sin transacciones | consumo cupo 99% | saldo expuesto $14,876,776 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,55733,2026-04-30,BARRIO LAS FERIAS BARRANCA DE UPIA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,META,BARRANCA DE UPÍA,REDEBAN,0.40074489980890504,0.9816799816599628,Crítico,Crítico,Recuperación prioritaria,861,852,0,0,7636327.113165422,19055332.0,60.0,868.0,0.76221328,0.76221328,100.0,"60 días sin compensar | 868 días sin transacciones | consumo cupo 76% | saldo expuesto $19,055,332 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
