fecha_scoring,codigo_punto,fecha_corte,nombre_punto,estado_actual,estado_actual_norm,segmento_operativo,departamento,municipio,red_cb,probabilidad_riesgo_90d,probabilidad_riesgo_90d_raw,nivel_modelo,nivel_riesgo_reglas,nivel_alerta_final,ranking_global,ranking_segmento,flag_top500_preventivo,flag_nuevo_top500_preventivo,perdida_esperada_modelo,saldo_expuesto,dias_sin_compensar,dias_sin_transacciones,consumo_cupo_punto,consumo_cupo_visual,score_riesgo_reglas,motivo_alerta,accion_recomendada,accion_final_produccion
2026-05-02,76070,2026-04-30,BARRIO SECTOR MOCTEZUMA ULLOA,ACTIVO,ACTIVO,PREVENTIVO,VALLE DEL CAUCA,ULLOA,REDEBAN,0.04826784649911789,0.768132691456524,Medio,Bajo,Crítico,5802,290,1,0,371879.62335245375,7704500.0,2.0,0.0,0.77045,0.77045,25.0,"consumo cupo 77% | saldo expuesto $7,704,500",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,80465,2026-04-30,BARRIO CENTRO VISTAHERMOSA   10,ACTIVO,ACTIVO,PREVENTIVO,META,VISTAHERMOSA,REDEBAN,0.060377736284895726,0.8104913085428938,Alto,Medio,Crítico,5806,291,1,0,366982.0396686973,6078102.0,49.0,0.0,0.6078102,0.6078102,40.0,"49 días sin compensar | saldo expuesto $6,078,102",Monitoreo y recordatorio preventivo,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,81428,2026-04-30,BARRIO CENTRO SABANALARGA 26,ACTIVO,ACTIVO,PREVENTIVO,ATLÁNTICO,SABANALARGA,CREDIBANCO,0.05222903364463479,0.783710099219923,Medio,Bajo,Crítico,5810,292,1,0,365578.5834085633,6999528.0,10.0,1.0,0.9999325714285714,0.9999325714285714,35.0,"consumo cupo 100% | saldo expuesto $6,999,528",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,79953,2026-04-30,BARRIO RINCON DE SANTA FE CONJUNTO BALCONES DE MERCURIO SOACHA,ACTIVO,ACTIVO,PREVENTIVO,CUNDINAMARCA,SOACHA,REDEBAN,0.05630072651469236,0.797877594111951,Medio,Bajo,Crítico,5811,293,1,0,365431.1255889137,6490700.0,25.0,0.0,0.9272428571428571,0.9272428571428571,35.0,"consumo cupo 93% | saldo expuesto $6,490,700",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,71314,2026-04-30,NEIVA CHICALA,ACTIVO,ACTIVO,PREVENTIVO,HUILA,NEIVA,WOMPI,0.038010163431975046,0.7167483993942222,Medio,Bajo,Crítico,5812,294,1,0,365380.8693153029,9612715.03,17.0,0.0,0.961271503,0.961271503,35.0,"consumo cupo 96% | saldo expuesto $9,612,715",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,52391,2026-04-30,BARRIO CORAZON DE MARIA EL CARMEN DE ATRATO,ACTIVO,ACTIVO,PREVENTIVO,CHOCÓ,EL CARMEN DE ATRATO,REDEBAN,0.015496618724717647,0.4837841268971638,Bajo,Bajo,Crítico,5813,295,1,0,364216.464725354,23502963.53,9.0,0.0,0.9401185412,0.9401185412,35.0,"consumo cupo 94% | saldo expuesto $23,502,964",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,60834,2026-04-30,BARRIO PORVENIR BAJO BAUDO,ACTIVO,ACTIVO,PREVENTIVO,CHOCÓ,BAJO BAUDÓ,REDEBAN,0.016256060133661585,0.4968952002104944,Bajo,Bajo,Crítico,5814,296,1,0,364091.4329740951,22397274.0,14.0,0.0,0.9954344,0.9954344,35.0,"consumo cupo 100% | saldo expuesto $22,397,274",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,59693,2026-04-30,BARRIO SAMARIA CHIA 1,ACTIVO,ACTIVO,PREVENTIVO,CUNDINAMARCA,CHÍA,REDEBAN,0.03669027700880841,0.7086358802852502,Medio,Bajo,Crítico,5816,297,1,0,363631.06139693165,9910829.0,22.0,0.0,0.9910829,0.9910829,35.0,"consumo cupo 99% | saldo expuesto $9,910,829",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,61195,2026-04-30,BARRIO CIUDAD VERDE SOAHCA,ACTIVO,ACTIVO,PREVENTIVO,CUNDINAMARCA,SOACHA,REDEBAN,0.014790323893548538,0.47103139017241247,Bajo,Bajo,Crítico,5817,298,1,0,363489.2907332135,24576154.88,1.0,0.0,0.8777198171428571,0.8777198171428571,25.0,"consumo cupo 88% | saldo expuesto $24,576,155",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,34638,2026-04-30,BARRIO CENTRO BUCARAMANGA 3,ACTIVO,ACTIVO,PREVENTIVO,SANTANDER,BUCARAMANGA,WOMPI,0.038541742936421264,0.7199017610486911,Medio,Bajo,Crítico,5818,299,1,0,363240.51047859585,9424600.0,10.0,1.0,0.94246,0.94246,35.0,"consumo cupo 94% | saldo expuesto $9,424,600",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,65862,2026-04-30,BARRIO SOLEDAD 2000 SOLEDAD 12,ACTIVO,ACTIVO,PREVENTIVO,ATLÁNTICO,SOLEDAD,WOMPI,0.01202655849764502,0.41525810754431347,Bajo,Bajo,Crítico,5819,300,1,0,362356.08242447977,30129657.0,2.0,1.0,0.8608473428571428,0.8608473428571428,25.0,"consumo cupo 86% | saldo expuesto $30,129,657",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,66832,2026-04-30,BARRIO MARCO FIDEL SUREZ SEVILLA,ACTIVO,ACTIVO,PREVENTIVO,VALLE DEL CAUCA,SEVILLA,REDEBAN,0.026844967074077686,0.6319543144484877,Bajo,Bajo,Crítico,5820,301,1,0,362316.29266637133,13496619.0,23.0,0.0,0.7939187647058824,0.7939187647058824,25.0,"consumo cupo 79% | saldo expuesto $13,496,619",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,51286,2026-04-30,BARRIO BUENOS AIRES BARRANQUILLA 1,ACTIVO,ACTIVO,PREVENTIVO,ATLÁNTICO,BARRANQUILLA,REDEBAN,0.03667020826127445,0.7085093070372257,Medio,Bajo,Crítico,5822,302,1,0,360919.5574720241,9842310.0,9.0,1.0,0.984231,0.984231,35.0,"consumo cupo 98% | saldo expuesto $9,842,310",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,61515,2026-04-30,BARRIO MORICHAL ACACIAS,ACTIVO,ACTIVO,PREVENTIVO,META,ACACÍAS,REDEBAN,0.024570058096025225,0.6088606396079108,Bajo,Bajo,Crítico,5823,303,1,0,360622.40853348817,14677312.0,2.0,0.0,0.9784874666666666,0.9784874666666666,35.0,"consumo cupo 98% | saldo expuesto $14,677,312",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,71857,2026-04-30,BARRIO SAN VICTORINO BOGOTA CUNDINAMARCA,ACTIVO,ACTIVO,PREVENTIVO,CUNDINAMARCA,BOGOTÁ,REDEBAN,0.036588597915433514,0.707993570569843,Medio,Bajo,Crítico,5824,304,1,0,360423.59419434424,9850708.0,3.0,1.0,0.9850708,0.9850708,35.0,"consumo cupo 99% | saldo expuesto $9,850,708",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,61243,2026-04-30,BARRIO RINCON BOGOTA 3,ACTIVO,ACTIVO,PREVENTIVO,CUNDINAMARCA,BOGOTÁ,REDEBAN,0.09396860663702226,0.8775977593450366,Crítico,Alto,Crítico,5826,305,1,0,359871.57283780415,3829700.0,59.0,0.0,0.957425,0.957425,65.0,"59 días sin compensar | consumo cupo 96% | saldo expuesto $3,829,700",Contacto el mismo día + seguimiento de compensación,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,50346,2026-04-30,BARRIO CENTRO TOGUI 1,ACTIVO,ACTIVO,PREVENTIVO,BOYACÁ,TOGÜÍ,REDEBAN,0.017590493746610224,0.5185385600495027,Bajo,Bajo,Crítico,5827,306,1,0,359444.2899421833,20434008.0,8.0,0.0,0.9967808780487805,0.9967808780487805,35.0,"consumo cupo 100% | saldo expuesto $20,434,008",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,40589,2026-04-30,BARRIO VILLALBA VALLEDUPAR 1,ACTIVO,ACTIVO,PREVENTIVO,CESAR,VALLEDUPAR,REDEBAN,0.03889598167819529,0.7219682614458313,Medio,Bajo,Crítico,5828,307,1,0,358694.9701260942,9221903.0,3.0,0.0,0.9221903,0.9221903,35.0,"consumo cupo 92% | saldo expuesto $9,221,903",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,51866,2026-04-30,BARRIO SAN MARCOS SAN MARCOS,ACTIVO,ACTIVO,PREVENTIVO,SUCRE,SAN MARCOS,REDEBAN,0.02386209039210686,0.6011331442245962,Bajo,Bajo,Crítico,5829,308,1,0,357931.3558816029,15000000.0,9.0,1.0,1.0,1.0,35.0,"consumo cupo 100% | saldo expuesto $15,000,000",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,79024,2026-04-30,BARRIO LAS COLINAS ACACIAS 2,ACTIVO,ACTIVO,PREVENTIVO,META,ACACÍAS,REDEBAN,0.035895359661908995,0.7035455250306463,Medio,Bajo,Crítico,5830,309,1,0,357544.52427556174,9960745.0,11.0,1.0,0.9960745,0.9960745,35.0,"consumo cupo 100% | saldo expuesto $9,960,745",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,80280,2026-04-30,BARRIO SOCIEGO MADRID 10,ACTIVO,ACTIVO,PREVENTIVO,CUNDINAMARCA,MADRID,REDEBAN,0.05133354589709891,0.7803549816731871,Medio,Bajo,Crítico,5831,310,1,0,357414.9466631409,6962600.0,10.0,0.0,0.9946571428571429,0.9946571428571429,35.0,"consumo cupo 99% | saldo expuesto $6,962,600",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,11750,2026-04-30,BARRIO TRANSITO BUENAVENTURA,ACTIVO,ACTIVO,PREVENTIVO,VALLE DEL CAUCA,BUENAVENTURA,REDEBAN,0.013305942721743807,0.4423154998749386,Bajo,Bajo,Crítico,5832,311,1,0,357198.4581553796,26845032.0,4.0,1.0,0.8948344,0.8948344,25.0,"consumo cupo 89% | saldo expuesto $26,845,032",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,47279,2026-04-30,BARRIO BRUSELAS PITALITO 3,ACTIVO,ACTIVO,PREVENTIVO,HUILA,PITALITO,REDEBAN,0.018929399534334625,0.5386301179250819,Bajo,Bajo,Crítico,5833,312,1,0,356443.43264145113,18830150.0,2.0,1.0,0.753206,0.753206,25.0,"consumo cupo 75% | saldo expuesto $18,830,150",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,15956,2026-04-30,BARRIO BELEN II MEDELLIN,ACTIVO,ACTIVO,PREVENTIVO,ANTIOQUIA,MEDELLÍN,REDEBAN Y CREDIBANCO,0.010212311844804835,0.3726820687785712,Bajo,Bajo,Crítico,5835,313,1,0,354687.9569482521,34731406.79,2.0,0.0,0.9647612997222222,0.9647612997222222,35.0,"consumo cupo 96% | saldo expuesto $34,731,407",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,69656,2026-04-30,BARRIO CANADA GUIRA BOGOTA 1,ACTIVO,ACTIVO,PREVENTIVO,CUNDINAMARCA,BOGOTÁ,REDEBAN,0.03645085053471117,0.7071193399862986,Medio,Bajo,Crítico,5836,314,1,0,354401.70511765126,9722728.0,24.0,1.0,0.9722728,0.9722728,35.0,"consumo cupo 97% | saldo expuesto $9,722,728",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,81759,2026-04-30,BARRIO CHARALA CHARALA 1,ACTIVO,ACTIVO,PREVENTIVO,SANTANDER,CHARALÁ,WOMPI,0.035730520538352004,0.7024698669286229,Medio,Bajo,Crítico,5837,315,1,0,354036.1128679046,9908507.0,8.0,1.0,0.9908507,0.9908507,35.0,"consumo cupo 99% | saldo expuesto $9,908,507",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,53147,2026-04-30,BARRIO PRADOS DE SEVILLA MALAGA,ACTIVO,ACTIVO,PREVENTIVO,SANTANDER,MÁLAGA,REDEBAN,0.011674883847587188,0.4074099454219702,Bajo,Bajo,Crítico,5838,316,1,0,353821.4465859338,30306207.0,2.0,0.0,0.8913590294117647,0.8913590294117647,25.0,"consumo cupo 89% | saldo expuesto $30,306,207",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,65690,2026-04-30,BARRIO PAMPLONA PAMPLONA 4,ACTIVO,ACTIVO,PREVENTIVO,NORTE DE SANTANDER,PAMPLONA,REDEBAN,0.011275383143960161,0.39826600937968964,Bajo,Bajo,Crítico,5839,317,1,0,353622.0615296532,31362310.0,3.0,0.0,0.6969402222222222,0.6969402222222222,10.0,"saldo expuesto $31,362,310",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,75681,2026-04-30,BARRIO SAN PEDRO ALEJANDRO IBAGUE 1,ACTIVO,ACTIVO,PREVENTIVO,TOLIMA,IBAGUÉ,REDEBAN,0.05370836289058992,0.7890565892000081,Medio,Bajo,Crítico,5840,318,1,0,353458.8180185519,6581076.0,10.0,0.0,0.9401537142857143,0.9401537142857143,35.0,"consumo cupo 94% | saldo expuesto $6,581,076",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,80519,2026-04-30,BARRIO CARRETERA LA CORDIALIDAD CARTAGENA DE INDIAS,ACTIVO,ACTIVO,PREVENTIVO,BOLÍVAR,CARTAGENA DE INDIAS,REDEBAN,0.050387472037250636,0.7767081475668227,Medio,Bajo,Crítico,5841,319,1,0,352687.6647869282,6999511.0,7.0,3.0,0.9999301428571429,0.9999301428571429,35.0,"consumo cupo 100% | saldo expuesto $6,999,511",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
